Ich wäre so gern...	Ich wäre so gern...	Ich wäre so gern...	I would be so happy ...	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>wäre</td><td></td><td>would</td></tr><tr><td>so</td><td>as // for example // like that // so // that // thus  [in this way, like this] </td><td>so</td></tr><tr><td>gern...</td><td></td><td>like ...</td></tr></table>	[sound:lola-000116000-000118000.mp4]
- Ist auch egal. - Als ich endlich ankam, warst du weg.	-  Ist auch ___ -  ___ ich ___ ankam, ___ du ___	- Ist auch <span class="learn">egal.</span> - <span class="learn">Als</span> ich <span class="learn">endlich</span> ankam, <span class="learn">warst</span> du <span class="learn">weg.</span>	Does not matter .  When I finally arrived, you were gone .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Ist</td><td></td><td>is</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>egal.</td><td></td><td>matter .</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Als</td><td></td><td>than</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>endlich</td><td>already [coll.] [used as an intensifier to express exasperation or impatience] // at last // at length // at long last // eventually // finally // finite // finitely // in the end // limited // ultimately </td><td>finally</td></tr><tr><td>ankam,</td><td></td><td>arrived,</td></tr><tr><td>warst</td><td></td><td>were</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>weg.</td><td></td><td>away .</td></tr></table>	[sound:lola-000346886-000349586.mp4]
Egal... is sowieso alles zu spät... alles kaputt.	___ is ___ ___ zu ___ ___ kaputt.	<span class="learn">Egal...</span> is <span class="learn">sowieso</span> <span class="learn">alles</span> zu <span class="learn">spät...</span> <span class="learn">alles</span> kaputt.	No matter ... is all too late anyway ... destroy everything .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Egal...</td><td></td><td>No matter ...</td></tr><tr><td>is</td><td></td><td>is</td></tr><tr><td>sowieso</td><td>anyhow // any road [esp. N.Engl.] [coll.] [anyway] // anyroad [esp. N.Engl.] [coll.] [anyway] // anyway // in any case // one way or the other </td><td>anyway</td></tr><tr><td>alles</td><td>a'thing [Scot.] // all // all of it // allthing [Scot.] // anything // everything // the lot [coll.] // the whole lot [Br.] </td><td>everything</td></tr><tr><td>zu</td><td>anent [esp. Scot.] [archaic] // at // for // to // toward // towards // unto  [archaic / literary] </td><td>to</td></tr><tr><td>spät...</td><td>eventual </td><td>late ...</td></tr><tr><td>alles</td><td>a'thing [Scot.] // all // all of it // allthing [Scot.] // anything // everything // the lot [coll.] // the whole lot [Br.] </td><td>everything</td></tr><tr><td>kaputt.</td><td></td><td>broken.</td></tr></table>	[sound:lola-000350387-000353157.mp4]
Aber warum denn...? Hilf mir, Lola	___ ___ denn...? ___ mir, Lola	<span class="learn">Aber</span> <span class="learn">warum</span> denn...? <span class="learn">Hilf</span> mir, Lola	But why ... ? Help me , Lola	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Aber</td><td></td><td>however</td></tr><tr><td>warum</td><td>forwhy [archaic] [why] // why </td><td>why</td></tr><tr><td>denn...?</td><td></td><td>because ... ?</td></tr><tr><td>Hilf</td><td></td><td>Help</td></tr><tr><td>mir,</td><td></td><td>me</td></tr><tr><td>Lola</td><td></td><td>Lola</td></tr></table>	[sound:lola-000353227-000356127.mp4]
ich weiß nicht mehr was ich machen soll.	ich ___ nicht ___ was ich ___ ___	ich <span class="learn">weiß</span> nicht <span class="learn">mehr</span> was ich <span class="learn">machen</span> <span class="learn">soll.</span>	I do not know what to do .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>weiß</td><td>blank // whitely </td><td>white</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>mehr</td><td>further // more </td><td>more</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>machen</td><td>to do // to make // to perform // to render [formal: to make] </td><td>have</td></tr><tr><td>soll.</td><td></td><td>to .</td></tr></table>	[sound:lola-000356198-000359498.mp4]
Du warst nicht da und ich hab's verbockt.	Du ___ nicht da und ich hab's verbockt.	Du <span class="learn">warst</span> nicht da und ich hab's verbockt.	You were not there and I ve screwed up .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>warst</td><td></td><td>were</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>hab's</td><td></td><td>ve</td></tr><tr><td>verbockt.</td><td></td><td>screwed up .</td></tr></table>	[sound:lola-000359568-000362048.mp4]
Ganz ruhig, was ist passiert?	___ ruhig, was ist ___	<span class="learn">Ganz</span> ruhig, was ist <span class="learn">passiert?</span>	Calm down , what happened?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ganz</td><td></td><td>Full</td></tr><tr><td>ruhig,</td><td></td><td>quiet,</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>passiert?</td><td></td><td>happened?</td></tr></table>	[sound:lola-000364629-000368329.mp4]
Sag mir nur, was passiert ist. Okay?	Sag mir ___ was ___ ist. ___	Sag mir <span class="learn">nur,</span> was <span class="learn">passiert</span> ist. <span class="learn">Okay?</span>	Just tell me what happened. Okay ?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Sag</td><td></td><td>say</td></tr><tr><td>mir</td><td>me [indirect object] // to me // us [coll.] [me] </td><td>me</td></tr><tr><td>nur,</td><td></td><td>only</td></tr><tr><td>was</td><td>what // which </td><td>what</td></tr><tr><td>passiert</td><td>passed </td><td>happens</td></tr><tr><td>ist.</td><td></td><td>s .</td></tr><tr><td>Okay?</td><td></td><td>Okay ?</td></tr></table>	[sound:lola-000368399-000371769.mp4]
Der macht mich fertig, der bringt mich um.	Der ___ mich ___ der bringt mich um.	Der <span class="learn">macht</span> mich <span class="learn">fertig,</span> der bringt mich um.	Makes me ready , he will kill me .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Der</td><td></td><td>the</td></tr><tr><td>macht</td><td></td><td>makes</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>fertig,</td><td></td><td>finished ,</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>bringt</td><td></td><td>brings</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>um.</td><td>circum- </td><td>to .</td></tr></table>	[sound:lola-000371840-000375140.mp4]
Manni, hör auf, ich krieg Schiss. Was ist denn los?	___ ___ auf, ich ___ ___ Was ist denn ___	<span class="learn">Manni,</span> <span class="learn">hör</span> auf, ich <span class="learn">krieg</span> <span class="learn">Schiss.</span> Was ist denn <span class="learn">los?</span>	Manni , stop it , I get scared . What s going on?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Manni,</td><td></td><td>Manni</td></tr><tr><td>hör</td><td></td><td>listen</td></tr><tr><td>auf,</td><td></td><td>on</td></tr><tr><td>ich</td><td>I // me [coll.] [I, e.g. John and me went to the cinema] </td><td>I</td></tr><tr><td>krieg</td><td></td><td>war</td></tr><tr><td>Schiss.</td><td></td><td>Shit .</td></tr><tr><td>Was</td><td></td><td>What</td></tr><tr><td>ist</td><td></td><td>is</td></tr><tr><td>denn</td><td>'cause  [coll.] [because] // because // cos  [Br.]  [coll.] [because] // for  [since] // in as much as // since  [because] </td><td>because</td></tr><tr><td>los?</td><td></td><td>going on?</td></tr></table>	[sound:lola-000375210-000377730.mp4]
- Haben sie dich erwischt? - Das wär ja noch was, nein.	-  ___ sie ___ erwischt? -  Das ___ ja ___ was, ___	- <span class="learn">Haben</span> sie <span class="learn">dich</span> erwischt? - Das <span class="learn">wär</span> ja <span class="learn">noch</span> was, <span class="learn">nein.</span>	Did they catch you ?  That would be something , no.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Haben</td><td></td><td>have</td></tr><tr><td>sie</td><td>'em [coll.] [them] [direct object] // dem [Jam.: them] // her [direct object] // hoo [Br.] [Lancashire, West Yorkshire dialect] [she] // she // them [direct object] // they </td><td>they</td></tr><tr><td>dich</td><td>thee [poet., archaic] [direct object] // ya [Am.] [coll.] [you] // yourself // you [direct object] [informal] </td><td>you</td></tr><tr><td>erwischt?</td><td></td><td>caught?</td></tr><tr><td>-</td><td></td><td></td></tr><tr><td>Das</td><td></td><td>the</td></tr><tr><td>wär</td><td></td><td>would</td></tr><tr><td>ja</td><td>aye-aye // certainly // indeed // surely // yea  [archaic or formal] // yeh [coll.] [yes] // yes // yup [Am.] [coll.] [yes] </td><td>yes</td></tr><tr><td>noch</td><td>as yet // nor // still // yet [still] </td><td>more</td></tr><tr><td>was,</td><td></td><td>what</td></tr><tr><td>nein.</td><td></td><td>no .</td></tr></table>	[sound:lola-000377810-000381680.mp4]
Wir haben Diese Dinger dahin gefahren und ruckzuck kamen die Typen an.	___ ___ ___ Dinger dahin gefahren und ruckzuck kamen die Typen an.	<span class="learn">Wir</span> <span class="learn">haben</span> <span class="learn">Diese</span> Dinger dahin gefahren und ruckzuck kamen die Typen an.	These things we have gone there and the guys came in jiffy .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Wir</td><td></td><td>we</td></tr><tr><td>haben</td><td>to have got // to have // to possess </td><td>have</td></tr><tr><td>Diese</td><td></td><td>this</td></tr><tr><td>Dinger</td><td></td><td>dinger</td></tr><tr><td>dahin</td><td>there [to that place] // thither [archaic or literary] [to that place] </td><td>then</td></tr><tr><td>gefahren</td><td>driven // navigated </td><td>driven</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>ruckzuck</td><td></td><td>ruckzuck</td></tr><tr><td>kamen</td><td></td><td>came</td></tr><tr><td>die</td><td>that // the // these // this one // which // who </td><td>the</td></tr><tr><td>Typen</td><td></td><td>types</td></tr><tr><td>an.</td><td></td><td>to .</td></tr></table>	[sound:lola-000382421-000386721.mp4]
Die haben bezahlt, und das war's schon. Absolut simpel.	Die ___ bezahlt, und das ___ ___ Absolut simpel.	Die <span class="learn">haben</span> bezahlt, und das <span class="learn">war's</span> <span class="learn">schon.</span> Absolut simpel.	Who have paid , and thats it . Absolutely simple.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Die</td><td></td><td>the</td></tr><tr><td>haben</td><td>to have got // to have // to possess </td><td>have</td></tr><tr><td>bezahlt,</td><td></td><td>paid</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>das</td><td>that // the // what // which // who </td><td>the</td></tr><tr><td>war's</td><td></td><td>was it</td></tr><tr><td>schon.</td><td></td><td>already .</td></tr><tr><td>Absolut</td><td></td><td>absolutely</td></tr><tr><td>simpel.</td><td></td><td>simple.</td></tr></table>	[sound:lola-000386792-000389772.mp4]
An der Grenze haben sie mich nur durchgewinkt. Und dann hat Lollo mich da draußen abgesetzt.	An der Grenze ___ sie mich ___ durchgewinkt. Und dann ___ Lollo mich da draußen abgesetzt.	An der Grenze <span class="learn">haben</span> sie mich <span class="learn">nur</span> durchgewinkt. Und dann <span class="learn">hat</span> Lollo mich da draußen abgesetzt.	At the border they have just waved me. Lollo and then dropped me off there.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>An</td><td></td><td>to</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>Grenze</td><td></td><td>border</td></tr><tr><td>haben</td><td>to have got // to have // to possess </td><td>have</td></tr><tr><td>sie</td><td>'em [coll.] [them] [direct object] // dem [Jam.: them] // her [direct object] // hoo [Br.] [Lancashire, West Yorkshire dialect] [she] // she // them [direct object] // they </td><td>they</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>nur</td><td>as little as // but [only] // just  [only] // mere // merely // nobbut [Br.] [dial.] // no better than // no more than // none but // nothing but // only // solely </td><td>only</td></tr><tr><td>durchgewinkt.</td><td></td><td>waved through .</td></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dann</td><td>after that // in that case // next // then </td><td>then</td></tr><tr><td>hat</td><td>hath [archaic] // haveth [archaic] </td><td>has</td></tr><tr><td>Lollo</td><td></td><td>Lollo</td></tr><tr><td>mich</td><td>me [direct object] </td><td>myself</td></tr><tr><td>da</td><td></td><td>because</td></tr><tr><td>draußen</td><td>abroad  [archaic] [outside, outdoors] // a door [Jam.] // afield // in the open // outdoors // out of doors // outside // out there </td><td>out</td></tr><tr><td>abgesetzt.</td><td></td><td>discontinued.</td></tr></table>	[sound:lola-000389852-000395652.mp4]
Ich war bei diesem komischen... Zyklopen, und der war auch ratzfatz fertig.	Ich war ___ diesem komischen... Zyklopen, und der war auch ratzfatz ___	Ich war <span class="learn">bei</span> diesem komischen... Zyklopen, und der war auch ratzfatz <span class="learn">fertig.</span>	I was in this comic ... Cyclops, and was also ratzfatz done.	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Ich</td><td></td><td>I</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>bei</td><td>at // care of <c/o> // in // in the case of // next to // on // upon // with </td><td>with</td></tr><tr><td>diesem</td><td></td><td>this</td></tr><tr><td>komischen...</td><td></td><td>weird ...</td></tr><tr><td>Zyklopen,</td><td></td><td>Cyclops,</td></tr><tr><td>und</td><td>plus [coll.; considered an error by many authorities] </td><td>and</td></tr><tr><td>der</td><td>that // the // this one // this [determiner] // which // who </td><td>the</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>auch</td><td>also // as well // item  [archaic] // too [in addition, also] </td><td>also</td></tr><tr><td>ratzfatz</td><td></td><td>ratzfatz</td></tr><tr><td>fertig.</td><td></td><td>finished .</td></tr></table>	[sound:lola-000395723-000399423.mp4]
Und alles war pünktlich. Nur du nicht!	Und ___ war pünktlich. ___ du nicht!	Und <span class="learn">alles</span> war pünktlich. <span class="learn">Nur</span> du nicht!	And everything was on time . Just not you!	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>alles</td><td>a'thing [Scot.] // all // all of it // allthing [Scot.] // anything // everything // the lot [coll.] // the whole lot [Br.] </td><td>everything</td></tr><tr><td>war</td><td></td><td>was</td></tr><tr><td>pünktlich.</td><td></td><td>on time.</td></tr><tr><td>Nur</td><td></td><td>only</td></tr><tr><td>du</td><td>thou [archaic] // u [informal, short for "you"] // ya [Am.] [coll.] [you] // yeh [coll.] [you] // ye [archaic, poet.] // yis [sl.] [you] // you [informal] </td><td>you</td></tr><tr><td>nicht!</td><td></td><td>not !</td></tr></table>	[sound:lola-000399493-000403053.mp4]
Du warst nicht da.	Du ___ nicht da.	Du <span class="learn">warst</span> nicht da.	You were not there .	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Du</td><td></td><td>you</td></tr><tr><td>warst</td><td></td><td>were</td></tr><tr><td>nicht</td><td>no // not </td><td>not</td></tr><tr><td>da.</td><td>that // the // what // which // who </td><td>there.</td></tr></table>	[sound:lola-000403134-000405064.mp4]
Und dann?	Und dann?	Und dann?	And then what?	<table><tr><th>word</th><th>ccdict</th><th>google translate</th></tr><tr><td>Und</td><td></td><td>and</td></tr><tr><td>dann?</td><td></td><td>then ?</td></tr></table>	[sound:lola-000407104-000408474.mp4]
